tconst,primaryTitle,startYear,runtimeMinutes,genres,language,averageRating,numVotes,Drama,Fantasy,Thriller,Crime,Mystery,Sci-Fi,Romance,Film-Noir,Documentary,History,Horror,Biography,War,Western,Comedy,Action,Adventure,Family,Music,Musical,Sport,Animation,Adult,News,title_lower,image
tt0012494,Destiny,1921,97,"Drama,Fantasy,Thriller",fr,7.7,5433,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,destiny,https://image.tmdb.org/t/p/original/zgRB2MhCTfOMkxRO7seX6GxOaKJ.jpg
tt0017136,Metropolis,1927,153,"Drama,Sci-Fi",fr,8.3,161953,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,metropolis,https://image.tmdb.org/t/p/original/hUK9rewffKGqtXynH5SW3v9hzcu.jpg
tt0019415,Spies,1928,150,"Romance,Thriller",fr,7.6,3182,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,spies,https://image.tmdb.org/t/p/original/gyH5U8CobPEaYUtZwj4mcoURwtW.jpg
tt0022100,M,1931,117,"Crime,Mystery,Thriller",fr,8.3,145477,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m,https://image.tmdb.org/t/p/original/slsS6jT6SXjcTPOrsFcLIrHboXA.jpg
tt0037469,The Woman in the Window,1944,107,"Crime,Drama,Film-Noir",fr,7.7,14431,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the woman in the window,https://image.tmdb.org/t/p/original/jXVzuzyyw0qxzCqOQLrDHeUKfv4.jpg
tt0038057,Scarlet Street,1945,102,"Drama,Film-Noir,Thriller",fr,7.8,14902,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scarlet street,https://image.tmdb.org/t/p/original/pioF72zZq3Qu3p5DkkAq59ZEb6B.jpg
tt0044502,Clash by Night,1952,105,"Drama,Film-Noir,Romance",fr,7.1,5734,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clash by night,https://image.tmdb.org/t/p/original/p1dX8ex9FnOxmcLSqAf3ZT4Jm1t.jpg
tt0047101,Human Desire,1954,91,"Drama,Film-Noir,Romance",fr,7.1,4548,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,human desire,https://image.tmdb.org/t/p/original/jENxUySE0H3XUUIP1mitESyhjEK.jpg
tt0054371,"The 1,000 Eyes of Dr. Mabuse",1960,103,"Crime,Mystery,Thriller",fr,7.0,2985,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"the 1,000 eyes of dr. mabuse",https://image.tmdb.org/t/p/original/ciN0ge3Tu0xvbFu3xSr6RWPglPm.jpg
tt0013257,Häxan,1922,91,"Documentary,Fantasy,History",fr,7.7,12669,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,häxan,https://image.tmdb.org/t/p/original/As8MXPHo1zJHyiQV4iWr9uk7tDg.jpg
tt0013442,Nosferatu,1922,94,"Fantasy,Horror",fr,7.9,89701,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nosferatu,https://image.tmdb.org/t/p/original/zx24O7VAs6NbJhiIrUhWysAiHS0.jpg
tt0016847,Faust,1926,107,"Drama,Fantasy,Horror",fr,8.1,14099,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,faust,https://image.tmdb.org/t/p/original/b9iyXHhubmp0WlwhipVdVehkOzI.jpg
tt0031503,I Accuse,1938,104,"Drama,Horror,Sci-Fi",fr,7.0,459,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i accuse,https://image.tmdb.org/t/p/original/tvqkFBbRbbY50iW7BcUIoUsyKWA.jpg
tt0032888,Four Flights to Love,1940,103,"Drama,Romance,War",fr,7.0,163,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,four flights to love,https://image.tmdb.org/t/p/original/uRoJkzHRuJGoHPhyoqqj36SudwE.jpg
tt0015016,The Iron Horse,1924,150,"History,Romance,Western",fr,7.2,1981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the iron horse,https://image.tmdb.org/t/p/original/bHKKddjh7fmOAsMxeKL3cplugFT.jpg
tt0018909,Four Sons,1928,100,"Drama,War",fr,7.1,647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,four sons,https://image.tmdb.org/t/p/original/vNhHMc7xa2X96fX4akmxo6LmYHt.jpg
tt0027214,The Whole Town's Talking,1935,93,"Comedy,Crime,Drama",fr,7.3,2456,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the whole town's talking,https://image.tmdb.org/t/p/original/3Jv1FF6Wak5dTs5NG65YsIIeGOW.jpg
tt0028141,The Prisoner of Shark Island,1936,96,"Biography,Drama,History",fr,7.3,2014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the prisoner of shark island,https://image.tmdb.org/t/p/original/uzJIIgtMG7hsnKk34z1KQCuyrXC.jpg
tt0029030,The Hurricane,1937,110,"Action,Drama,Romance",fr,7.2,2348,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the hurricane,https://image.tmdb.org/t/p/original/t9h782IiogDZcSrlfRl8PJIQ8KB.jpg
tt0029751,Wee Willie Winkie,1937,100,"Adventure,Family",fr,7.1,1508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wee willie winkie,https://image.tmdb.org/t/p/original/zpCZvLxpgJFzuClBdy6NcdsxCZn.jpg
